,Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Precipitation,Wind Speed,Visibility,Cloud Cover,Relative Humidity,Conditions,Clear,Overcast,Partially cloudy,Rain,"Rain, Overcast","Rain, Partially cloudy",Snow,"Snow, Overcast","Snow, Partially cloudy",Clear,Overcast,Partially cloudy,Rain,"Rain, Overcast","Rain, Partially cloudy",Snow,"Snow, Overcast","Snow, Partially cloudy"
34,uk,02/04/1973,39.3,28.5,35.5,0.0,8.0,1.3,41.4,90.83,Partially cloudy,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,uk,02/05/1973,48.3,37.5,43.8,0.0,12.5,4.0,88.4,78.79,Overcast,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36,uk,02/06/1973,51.9,41.1,47.7,0.0,18.3,9.0,80.9,82.87,Overcast,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
37,uk,02/07/1973,51.9,48.3,50.1,0.0,20.5,15.3,96.6,78.65,Overcast,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
38,uk,02/08/1973,50.1,46.5,48.2,0.01,25.2,7.6,99.6,87.14,"Rain, Overcast",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
39,uk,02/09/1973,50.0,41.1,45.2,0.08,17.2,12.1,56.9,74.28,"Rain, Partially cloudy",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
40,uk,02/10/1973,46.5,35.8,41.4,0.0,20.5,15.8,46.9,75.71,Partially cloudy,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,uk,02/11/1973,50.1,31.9,42.8,0.0,17.2,11.0,56.4,76.52,Partially cloudy,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
42,uk,02/12/1973,51.9,35.7,45.2,0.0,34.4,13.7,78.4,79.13,Overcast,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
43,uk,02/13/1973,42.9,32.1,37.8,0.0,22.9,15.0,51.7,70.42,Partially cloudy,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
44,uk,02/14/1973,42.9,32.1,37.6,0.0,22.9,8.4,67.1,72.95,"Snow, Partially cloudy",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
45,uk,02/15/1973,42.9,33.8,37.6,0.0,13.6,5.5,73.6,65.13,Partially cloudy,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
46,uk,02/16/1973,44.7,35.6,39.5,0.0,13.6,3.1,51.2,74.11,Partially cloudy,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
