,Year,LandAverageTemperature,Month,AverageUncertainty,maxAvgTemp,minAvgTemp,Annual CO2 emissions,Coal(Terawatt-Hours),Oil(Terawatt-Hours),Gas(Terawatt-Hours),GMSL,World Population
18,1988,9.201583333333334,6.5,0.08008333333333334,9.281666666666668,9.1215,21681.10932,25965,36703,18089,-6.8,5145426008
19,1989,8.921999999999997,6.5,0.08800000000000001,9.01,8.834,22154.335730000006,26213,37300,18869,-2.3,5237441558
20,1990,9.234166666666667,6.5,0.08633333333333333,9.3205,9.147833333333333,22181.80737,25895,37691,19483,0.0,5327231061
21,1991,9.179416666666668,6.5,0.06208333333333335,9.2415,9.117333333333336,22429.37743,25643,37691,19975,2.5,5414289444
22,1992,8.836583333333332,6.5,0.08333333333333333,8.919916666666667,8.75325,22195.10513,25550,38344,20067,3.2,5498919809
23,1993,8.866583333333333,6.5,0.08133333333333333,8.947916666666666,8.78525,22153.14311,25675,38099,20269,1.4,5581597546
24,1994,9.03875,6.5,0.07091666666666667,9.109666666666667,8.967833333333333,22533.83297,25774,38935,20394,6.6,5663150427
25,1995,9.347083333333332,6.5,0.07641666666666666,9.4235,9.270666666666664,23007.42538,25954,39445,21108,9.5,5744212979
26,1996,9.038916666666667,6.5,0.08474999999999999,9.123666666666667,8.954166666666666,23522.97911,26572,40380,22164,13.6,5824891951
27,1997,9.202583333333333,6.5,0.08858333333333335,9.291166666666667,9.113999999999999,23915.3294,26527,41413,22033,20.6,5905045788
28,1998,9.522666666666666,6.5,0.07391666666666667,9.596583333333333,9.44875,23984.9839,26360,41624,22439,10.7,5984793942
29,1999,9.285083333333333,6.5,0.07924999999999999,9.364333333333333,9.205833333333333,23930.56147,26522,42371,23075,19.2,6064239055
30,2000,9.201166666666667,6.5,0.0835,9.284666666666668,9.117666666666667,24558.69108,27417,42897,24000,20.5,6143493823
31,2001,9.414583333333336,6.5,0.08741666666666664,9.502,9.327166666666663,25137.99969,27853,43278,24331,26.0,6222626606
32,2002,9.570416666666668,6.5,0.07241666666666667,9.642833333333334,9.498,25494.19056,28945,43639,25053,28.4,6301773188
33,2003,9.525583333333334,6.5,0.09066666666666666,9.61625,9.434916666666666,26866.738380000006,31497,44610,25753,37.6,6381185114
34,2004,9.324583333333333,6.5,0.08341666666666665,9.408,9.241166666666668,28187.59894,33664,46256,26736,37.2,6461159389
35,2005,9.700916666666666,6.5,0.07516666666666667,9.776083333333332,9.625750000000002,29254.90635,36171,46824,27464,37.3,6541907027
36,2006,9.5325,6.5,0.08999999999999997,9.6225,9.4425,30286.83639,38071,47367,28175,41.6,6623517833
37,2007,9.732166666666664,6.5,0.08949999999999997,9.821666666666664,9.642666666666663,30880.1453,40224,47958,29325,43.5,6705946610
38,2008,9.43175,6.5,0.07891666666666665,9.510666666666664,9.352833333333333,31875.7558,40770,47566,30025,52.2,6789088686
39,2009,9.505250000000002,6.5,0.08591666666666667,9.591166666666666,9.419333333333332,31523.14297,40149,46654,29411,58.0,6872767093
40,2010,9.703083333333332,6.5,0.08341666666666668,9.786499999999998,9.619666666666667,33066.65121,41997,48087,31606,65.7,6956823603
41,2011,9.516,6.5,0.08199999999999999,9.597999999999999,9.434,34357.36592,44018,48550,32372,67.3,7041194301
42,2012,9.507333333333333,6.5,0.08341666666666665,9.59075,9.423916666666667,34919.28871,44185,49157,33219,76.1,7125828059
43,2013,9.6065,6.5,0.09766666666666668,9.704166666666666,9.508833333333332,35207.88598,44993,49689,33767,67.7,7210581976
44,2014,9.570666666666666,6.5,0.09016666666666666,9.660833333333334,9.4805,35505.82704,44954,50014,33994,71.3,7295290765
45,2015,9.830999999999998,6.5,0.09216666666666667,9.923166666666663,9.738833333333334,35462.746739999995,43844,50892,34781,72.6,7379797139
